Description,Amount
Advanced Mpay*airtime Pre,-35.49
Advanced Mpay*airtime Pre,-35.49
Advanced Mpay*airtime Pre,-11.83
Shopify* 162083303,-11.00
To CHINMAY CHANDRASHEKHAR PANDHARE,-10.50
Google Youtubepremium,-7.05
Extra Revolut Card,-4.99
Cmk- 026 Maya,-1.72
Shopify* 160741215,-1.00
